# ANALYSIS METADATA
# Final_Size_Improvement_Correlation: -0.9654545394283884
# Final_Conclusion: Smaller models benefit MORE from LoRA overall

,model,params,category,phase1,phase3,improvement,improvement_formatted,improvement_pct,improvement_pct_formatted
0,phi,3,Small,0.529375,0.5802016666666667,0.05082666666666669,+0.0508,9.601259346713894,+9.60%
1,mistral_7b,7,Medium,0.5470133333333334,0.583035,0.03602166666666662,+0.0360,6.585153317408464,+6.59%
2,llama3_8b,8,Medium,0.5601766666666667,0.5809016666666666,0.020724999999999993,+0.0207,3.699725681778961,+3.70%
3,mistral_24b,24,Large,0.5927616666666666,0.5807333333333333,-0.012028333333333308,-0.0120,-2.0292022932207114,-2.03%
