source_target,phase1,phase3,improvement,improvement_pct,rank,verdict
fm,0.48664375,0.49403125000000003,0.007387500000000047,1.5180509356176972,1,"🟢 LORA HELPS (+0.0074, +1.52%)"
hlt,0.24535,0.158725,-0.08662500000000001,-35.30670470756063,2,"🔴 LORA HURTS (-0.0866, -35.31%)"
la,0.3960125,0.3060125,-0.08999999999999997,-22.726555348631663,3,"🔴 LORA HURTS (-0.0900, -22.73%)"
hc,0.4669125,0.35879375,-0.10811874999999999,-23.156105265975956,4,"🔴 LORA HURTS (-0.1081, -23.16%)"
dt,0.48553125,0.32896875,-0.15656250000000005,-32.245607260088825,5,"🔴 LORA HURTS (-0.1566, -32.25%)"
ent,0.3064375,0.13225625,-0.17418124999999998,-56.840709769528864,6,"🔴 LORA HURTS (-0.1742, -56.84%)"
