# ANALYSIS METADATA
# Models Helped by LoRA: 0
# Models Hurt by LoRA: 4
# Overall Verdict: 🔴 Phase 1 (Base) performs BETTER than Phase 3 by 0.1013 points

model,phase1,phase3,improvement,improvement_pct,verdict,improvement_formatted,improvement_pct_formatted
mistral_24b,0.3164166666666667,0.27526666666666666,-0.04115000000000002,-13.005003950487232,"🔴 LORA HURTS (-0.0412, -13.01%)",-0.0412,-13.01%
mistral_7b,0.3878,0.28839166666666666,-0.09940833333333332,-25.63391782705862,"🔴 LORA HURTS (-0.0994, -25.63%)",-0.0994,-25.63%
llama3_8b,0.43866249999999996,0.30906666666666666,-0.1295958333333333,-29.543403717740475,"🔴 LORA HURTS (-0.1296, -29.54%)",-0.1296,-29.54%
phi,0.4483791666666667,0.3131333333333333,-0.1352458333333334,-30.163273271319856,"🔴 LORA HURTS (-0.1352, -30.16%)",-0.1352,-30.16%
