model,phase1,phase3,improvement,improvement_pct,verdict,improvement_formatted,improvement_pct_formatted
phi,0.5031833333333333,0.79263,0.28944666666666663,57.523102911463674,"🟢 LORA HELPS (+0.2894, +57.52%)",+0.2894,+57.52%
mistral_7b,0.5344822222222222,0.8197911111111111,0.28530888888888895,53.380426331610664,"🟢 LORA HELPS (+0.2853, +53.38%)",+0.2853,+53.38%
mistral_24b,0.5825833333333333,0.8205077777777777,0.23792444444444438,40.83955561912935,"🟢 LORA HELPS (+0.2379, +40.84%)",+0.2379,+40.84%
llama3_8b,0.5314055555555556,0.7644511111111112,0.23304555555555562,43.854557619729654,"🟢 LORA HELPS (+0.2330, +43.85%)",+0.2330,+43.85%
