,experiment_type,experiment_label,prompt_type,model,model_size,model_params,model_category,phase1_mean_f1,phase3_mean_f1,improvement,improvement_pct,phase1_std,phase3_std,n_samples
0,in_target,SD,vanilla,llama3_8b,8B,8,Medium,0.43830666666666673,0.79034,0.3520333333333333,80.31667325768866,0.17800797520924516,0.0759838591882701,15
1,in_target,SD,vanilla,mistral_24b,24B,24,Large,0.47914666666666667,0.8198733333333333,0.3407266666666667,71.11114203027606,0.20340059652485454,0.1372082227162512,15
2,in_target,SD,vanilla,mistral_7b,7B,7,Medium,0.45282000000000006,0.8313399999999999,0.3785199999999998,83.59171414690158,0.19777744057399468,0.09173301166194985,15
3,in_target,SD,vanilla,phi,3B,3,Small,0.43277333333333334,0.8220533333333335,0.3892800000000002,89.9500893462321,0.17909265545547992,0.05724373785672564,15
4,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,llama3_8b,8B,8,Medium,0.4527833333333333,0.28248333333333336,-0.17029999999999995,-37.61180844406816,0.1768786297625201,0.13618753858803187,6
5,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,mistral_24b,24B,24,Large,0.26263333333333333,0.27925,0.01661666666666667,6.326945043787284,0.15400142423583835,0.15335410982428868,6
6,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,mistral_7b,7B,7,Medium,0.3085333333333333,0.26976666666666665,-0.03876666666666667,-12.564822817631807,0.12084583015837438,0.13899419652153347,6
7,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,phi,3B,3,Small,0.45741666666666664,0.3156166666666667,-0.14179999999999993,-31.000182182546897,0.0765105069037362,0.14063307458299656,6
