,experiment_type,model_category,prompt_type,models_included,phase1_mean_f1,phase1_std_f1,phase1_median_f1,phase1_count,phase3_mean_f1,phase3_std_f1,phase3_median_f1,phase3_count,improvement,improvement_pct,verdict,rank_within_category
29,cross_target,Large,knowledge_infused,mistral_24b,0.26263333333333333,0.15400142423583835,0.2148,6,0.27925,0.15335410982428868,0.27065,6,0.01661666666666667,6.326945043787284,"🟢 LoRA HELPS (+0.0166, +6.33%)",1.0
26,cross_target,Large,cot_knowledge,mistral_24b,0.26449999999999996,0.14406974699776492,0.22655,6,0.27093333333333336,0.14768293966016072,0.25595,6,0.006433333333333402,2.4322621298046894,🟡 NO SIGNIFICANT CHANGE,2.0
27,cross_target,Large,cot_knowledge_few_shot,mistral_24b,0.2585666666666667,0.1577278626833784,0.20005,6,0.2626,0.12253531735789483,0.2612,6,0.004033333333333278,1.559881397447445,🟡 NO SIGNIFICANT CHANGE,3.0
28,cross_target,Large,few_shot,mistral_24b,0.47996666666666665,0.14009366390621192,0.45,6,0.28828333333333334,0.14238473818027925,0.27580000000000005,6,-0.19168333333333332,-39.936801166747685,"🔴 LoRA HURTS (-0.1917, -39.94%)",4.0
22,cross_target,Medium,cot_knowledge,"llama3_8b, mistral_7b",0.391675,0.1272304074932918,0.4134,12,0.29086666666666666,0.1304395041481845,0.2984,12,-0.10080833333333333,-25.73775026063275,"🔴 LoRA HURTS (-0.1008, -25.74%)",1.0
25,cross_target,Medium,knowledge_infused,"llama3_8b, mistral_7b",0.3806583333333333,0.16289232616744848,0.35324999999999995,12,0.276125,0.13136254568594088,0.2583,12,-0.10453333333333331,-27.461196611134213,"🔴 LoRA HURTS (-0.1045, -27.46%)",2.0
23,cross_target,Medium,cot_knowledge_few_shot,"llama3_8b, mistral_7b",0.4302416666666667,0.14883256277583962,0.49245000000000005,12,0.3114666666666666,0.1481673521475775,0.30305000000000004,12,-0.11877500000000007,-27.60657769858027,"🔴 LoRA HURTS (-0.1188, -27.61%)",3.0
24,cross_target,Medium,few_shot,"llama3_8b, mistral_7b",0.45035,0.12334221057322955,0.50395,12,0.31645833333333334,0.1500275032866449,0.3291,12,-0.13389166666666663,-29.730579919322004,"🔴 LoRA HURTS (-0.1339, -29.73%)",4.0
20,cross_target,Small,few_shot,phi,0.4296166666666667,0.11202534385872989,0.45785,6,0.3118833333333333,0.13762060044436178,0.329,6,-0.11773333333333341,-27.404275128990978,"🔴 LoRA HURTS (-0.1177, -27.40%)",1.0
19,cross_target,Small,cot_knowledge_few_shot,phi,0.45705,0.086666919871425,0.48360000000000003,6,0.31898333333333334,0.1441945549133762,0.36895,6,-0.13806666666666667,-30.20821937789447,"🔴 LoRA HURTS (-0.1381, -30.21%)",2.0
21,cross_target,Small,knowledge_infused,phi,0.45741666666666664,0.0765105069037362,0.4627,6,0.3156166666666667,0.14063307458299656,0.35105,6,-0.14179999999999993,-31.000182182546897,"🔴 LoRA HURTS (-0.1418, -31.00%)",3.0
18,cross_target,Small,cot_knowledge,phi,0.44943333333333335,0.08488871931338503,0.45345,6,0.30605,0.13041028717091302,0.34824999999999995,6,-0.14338333333333336,-31.90313728398725,"🔴 LoRA HURTS (-0.1434, -31.90%)",4.0
