,experiment_type,model_category,prompt_type,models_included,phase1_mean_f1,phase1_std_f1,phase1_median_f1,phase1_count,phase3_mean_f1,phase3_std_f1,phase3_median_f1,phase3_count,improvement,improvement_pct,verdict,rank_within_category
14,in_target,Large,cot,mistral_24b,0.4716666666666666,0.20749624322474117,0.5024,15,0.8153333333333334,0.1227145041297463,0.8303,15,0.34366666666666673,72.86219081272087,"🟢 LoRA HELPS (+0.3437, +72.86%)",1.0
15,in_target,Large,vanilla,mistral_24b,0.47914666666666667,0.20340059652485454,0.4723,15,0.8198733333333333,0.1372082227162512,0.8458,15,0.3407266666666667,71.11114203027606,"🟢 LoRA HELPS (+0.3407, +71.11%)",2.0
12,in_target,Large,cot_knowledge,mistral_24b,0.6026933333333333,0.16810132347004575,0.6415,15,0.8201466666666667,0.12330791810206945,0.845,15,0.2174533333333334,36.080261935312606,"🟢 LoRA HELPS (+0.2175, +36.08%)",3.0
16,in_target,Large,few_shot,mistral_24b,0.6223333333333334,0.16217456056742713,0.64,15,0.8230599999999999,0.07493760070885642,0.8354,15,0.2007266666666665,32.253883235136556,"🟢 LoRA HELPS (+0.2007, +32.25%)",4.0
17,in_target,Large,knowledge_infused,mistral_24b,0.6215800000000001,0.17151992470680652,0.6539,15,0.81864,0.1272581953577619,0.8305,15,0.1970599999999999,31.70307924965409,"🟢 LoRA HELPS (+0.1971, +31.70%)",5.0
13,in_target,Large,cot_knowledge_few_shot,mistral_24b,0.6980799999999998,0.10460743076583313,0.7006,15,0.8259933333333332,0.07439911161783996,0.8394,15,0.12791333333333343,18.323592329436952,"🟢 LoRA HELPS (+0.1279, +18.32%)",6.0
8,in_target,Medium,cot,"llama3_8b, mistral_7b",0.4418666666666667,0.1828170110800138,0.43875,30,0.8074800000000001,0.08252713827417099,0.819,30,0.3656133333333334,82.74290887145445,"🟢 LoRA HELPS (+0.3656, +82.74%)",1.0
9,in_target,Medium,vanilla,"llama3_8b, mistral_7b",0.4455633333333333,0.18502733718493367,0.4421,30,0.8108399999999999,0.08534845250400024,0.8308,30,0.3652766666666666,81.98086317695201,"🟢 LoRA HELPS (+0.3653, +81.98%)",2.0
6,in_target,Medium,cot_knowledge,"llama3_8b, mistral_7b",0.5391366666666666,0.16407631631260083,0.5694999999999999,30,0.7977066666666668,0.07958233616755075,0.8138,30,0.2585700000000002,47.96001013966778,"🟢 LoRA HELPS (+0.2586, +47.96%)",3.0
11,in_target,Medium,knowledge_infused,"llama3_8b, mistral_7b",0.5621033333333334,0.16885726166230447,0.59155,30,0.7958999999999998,0.08861540303565975,0.8126500000000001,30,0.23379666666666643,41.59318274813049,"🟢 LoRA HELPS (+0.2338, +41.59%)",4.0
10,in_target,Medium,few_shot,"llama3_8b, mistral_7b",0.5854266666666667,0.13463681141688458,0.5983,30,0.7722633333333334,0.12579613634583628,0.81375,30,0.18683666666666676,31.914614981665814,"🟢 LoRA HELPS (+0.1868, +31.91%)",5.0
7,in_target,Medium,cot_knowledge_few_shot,"llama3_8b, mistral_7b",0.6235666666666666,0.11021235406480412,0.6327,30,0.7685366666666666,0.1206568044963249,0.79745,30,0.14497000000000004,23.248516598064906,"🟢 LoRA HELPS (+0.1450, +23.25%)",6.0
3,in_target,Small,vanilla,phi,0.43277333333333334,0.17909265545547992,0.4169,15,0.8220533333333335,0.05724373785672564,0.8343,15,0.3892800000000002,89.9500893462321,"🟢 LoRA HELPS (+0.3893, +89.95%)",1.0
2,in_target,Small,cot,phi,0.4279733333333333,0.1798360819773173,0.4497,15,0.7982333333333334,0.07625567582310247,0.8175,15,0.37026000000000003,86.51473612063057,"🟢 LoRA HELPS (+0.3703, +86.51%)",2.0
5,in_target,Small,knowledge_infused,phi,0.5210199999999999,0.17202222946053053,0.5567,15,0.7976133333333333,0.07265038458915674,0.8042,15,0.27659333333333336,53.086893657313226,"🟢 LoRA HELPS (+0.2766, +53.09%)",3.0
0,in_target,Small,cot_knowledge,phi,0.5108133333333333,0.17336285591072792,0.5394,15,0.7857000000000001,0.08061713749038014,0.8068,15,0.2748866666666667,53.813526141317126,"🟢 LoRA HELPS (+0.2749, +53.81%)",4.0
1,in_target,Small,cot_knowledge_few_shot,phi,0.5662933333333332,0.13843043878046613,0.5885,15,0.7818400000000001,0.057725654113722644,0.7899,15,0.2155466666666669,38.062723676775335,"🟢 LoRA HELPS (+0.2155, +38.06%)",5.0
4,in_target,Small,few_shot,phi,0.5602266666666667,0.1568855427495138,0.5687,15,0.7703399999999999,0.05861334319077866,0.767,15,0.21011333333333326,37.5050574767356,"🟢 LoRA HELPS (+0.2101, +37.51%)",6.0
