,experiment_type,model_category,best_prompt,improvement,improvement_pct,phase1_f1,phase3_f1,verdict
0,cross_target,Large,knowledge_infused,0.01661666666666667,6.326945043787284,0.26263333333333333,0.27925,"🟢 LoRA HELPS (+0.0166, +6.33%)"
1,cross_target,Medium,cot_knowledge,-0.10080833333333333,-25.73775026063275,0.391675,0.29086666666666666,"🔴 LoRA HURTS (-0.1008, -25.74%)"
2,cross_target,Small,few_shot,-0.11773333333333341,-27.404275128990978,0.4296166666666667,0.3118833333333333,"🔴 LoRA HURTS (-0.1177, -27.40%)"
3,in_target,Large,cot,0.34366666666666673,72.86219081272087,0.4716666666666666,0.8153333333333334,"🟢 LoRA HELPS (+0.3437, +72.86%)"
4,in_target,Medium,cot,0.3656133333333334,82.74290887145445,0.4418666666666667,0.8074800000000001,"🟢 LoRA HELPS (+0.3656, +82.74%)"
5,in_target,Small,vanilla,0.3892800000000002,89.9500893462321,0.43277333333333334,0.8220533333333335,"🟢 LoRA HELPS (+0.3893, +89.95%)"
