,experiment_type,experiment_label,prompt_type,model_category,phase1_mean_f1,phase3_mean_f1,improvement,improvement_pct,phase1_std,phase3_std
0,in_target,SD,vanilla,Small,0.43277333333333334,0.8220533333333335,0.3892800000000002,89.9500893462321,0.17909265545547992,0.05724373785672564
1,in_target,SD,vanilla,Medium,0.4455633333333333,0.8108399999999999,0.3652766666666666,81.98086317695201,0.18502733718493367,0.08534845250400024
2,in_target,SD,vanilla,Large,0.47914666666666667,0.8198733333333333,0.3407266666666667,71.11114203027606,0.20340059652485454,0.1372082227162512
3,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,Small,0.45741666666666664,0.3156166666666667,-0.14179999999999993,-31.000182182546897,0.0765105069037362,0.14063307458299656
4,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,Medium,0.3806583333333333,0.276125,-0.10453333333333331,-27.461196611134213,0.16289232616744848,0.13136254568594088
5,cross_target,$SD_{CT}$ & $SD_{CD}$,knowledge_infused,Large,0.26263333333333333,0.27925,0.01661666666666667,6.326945043787284,0.15400142423583835,0.15335410982428868
