,experiment_type,experiment_label,model,model_category,best_prompt,phase1_mean_f1,phase3_mean_f1,improvement,improvement_pct,phase1_std,phase3_std
0,in_target,SD,llama3_8b,Medium,cot,0.4330666666666666,0.77964,0.3465733333333334,80.02770935960594,0.17569125381380446,0.07621750642545508
1,in_target,SD,mistral_24b,Large,cot,0.4716666666666666,0.8153333333333334,0.34366666666666673,72.86219081272087,0.20749624322474117,0.1227145041297463
2,in_target,SD,mistral_7b,Medium,cot,0.4506666666666667,0.83532,0.38465333333333324,85.35207100591713,0.1954432130410507,0.08147376615468668
3,in_target,SD,phi,Small,vanilla,0.43277333333333334,0.8220533333333335,0.3892800000000002,89.9500893462321,0.17909265545547992,0.05724373785672564
4,cross_target,$SD_{CT}$ & $SD_{CD}$,llama3_8b,Medium,cot_knowledge,0.44006666666666666,0.29601666666666665,-0.14405,-32.733676715649146,0.1319963585356303,0.1384856442620197
5,cross_target,$SD_{CT}$ & $SD_{CD}$,mistral_24b,Large,knowledge_infused,0.26263333333333333,0.27925,0.01661666666666667,6.326945043787284,0.15400142423583835,0.15335410982428868
6,cross_target,$SD_{CT}$ & $SD_{CD}$,mistral_7b,Medium,cot_knowledge,0.34328333333333333,0.2857166666666667,-0.057566666666666655,-16.769432441617706,0.11211343214203491,0.13486991386764757
7,cross_target,$SD_{CT}$ & $SD_{CD}$,phi,Small,few_shot,0.4296166666666667,0.3118833333333333,-0.11773333333333341,-27.404275128990978,0.11202534385872989,0.13762060044436178
