experiment_type,model,model_size,model_category,model_params,prompt_type,performance_gain,phase1_mean,phase3_mean
SD,mistral_7b,7B,Medium,7,cot_knowledge,0.28968666666666676,0.5361333333333334,0.8258200000000001
SD,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,0.1922866666666666,0.6215933333333334,0.81388
SD,mistral_7b,7B,Medium,7,cot,0.38465333333333324,0.4506666666666667,0.83532
SD,mistral_7b,7B,Medium,7,vanilla,0.3785199999999998,0.45282000000000006,0.8313399999999999
SD,mistral_7b,7B,Medium,7,few_shot,0.2186933333333334,0.5905666666666666,0.80926
SD,mistral_7b,7B,Medium,7,knowledge_infused,0.2480133333333333,0.5551133333333333,0.8031266666666667
SD,mistral_24b,24B,Large,24,cot_knowledge_few_shot,0.12791333333333343,0.6980799999999998,0.8259933333333332
SD,mistral_24b,24B,Large,24,cot_knowledge,0.2174533333333334,0.6026933333333333,0.8201466666666667
SD,mistral_24b,24B,Large,24,cot,0.34366666666666673,0.4716666666666666,0.8153333333333334
SD,mistral_24b,24B,Large,24,few_shot,0.2007266666666665,0.6223333333333334,0.8230599999999999
SD,mistral_24b,24B,Large,24,vanilla,0.3407266666666667,0.47914666666666667,0.8198733333333333
SD,mistral_24b,24B,Large,24,knowledge_infused,0.1970599999999999,0.6215800000000001,0.81864
SD,llama3_8b,8B,Medium,8,cot_knowledge,0.22745333333333329,0.5421400000000001,0.7695933333333334
SD,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,0.09765333333333326,0.6255400000000001,0.7231933333333334
SD,llama3_8b,8B,Medium,8,cot,0.3465733333333334,0.4330666666666666,0.77964
SD,llama3_8b,8B,Medium,8,few_shot,0.15498,0.5802866666666666,0.7352666666666666
SD,llama3_8b,8B,Medium,8,knowledge_infused,0.21958000000000022,0.5690933333333332,0.7886733333333334
SD,llama3_8b,8B,Medium,8,vanilla,0.3520333333333333,0.43830666666666673,0.79034
SD,phi,3B,Small,3,cot_knowledge_few_shot,0.2155466666666669,0.5662933333333332,0.7818400000000001
SD,phi,3B,Small,3,cot_knowledge,0.2748866666666667,0.5108133333333333,0.7857000000000001
SD,phi,3B,Small,3,cot,0.37026000000000003,0.4279733333333333,0.7982333333333334
SD,phi,3B,Small,3,few_shot,0.21011333333333326,0.5602266666666667,0.7703399999999999
SD,phi,3B,Small,3,knowledge_infused,0.27659333333333336,0.5210199999999999,0.7976133333333333
SD,phi,3B,Small,3,vanilla,0.3892800000000002,0.43277333333333334,0.8220533333333335
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge_few_shot,-0.08226666666666665,0.4059833333333333,0.32371666666666665
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,knowledge_infused,-0.17029999999999995,0.4527833333333333,0.28248333333333336
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,cot_knowledge,-0.14405,0.44006666666666666,0.29601666666666665
$SD_{CT}$ + $SD_{CD}$,llama3_8b,8B,Medium,8,few_shot,-0.12176666666666669,0.4558166666666667,0.33405
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge_few_shot,-0.13806666666666667,0.45705,0.31898333333333334
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,cot_knowledge,-0.14338333333333336,0.44943333333333335,0.30605
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,few_shot,-0.11773333333333341,0.4296166666666667,0.3118833333333333
$SD_{CT}$ + $SD_{CD}$,phi,3B,Small,3,knowledge_infused,-0.14179999999999993,0.45741666666666664,0.3156166666666667
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge_few_shot,-0.15528333333333322,0.45449999999999996,0.29921666666666674
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,knowledge_infused,-0.03876666666666667,0.3085333333333333,0.26976666666666665
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,cot_knowledge,-0.057566666666666655,0.34328333333333333,0.2857166666666667
$SD_{CT}$ + $SD_{CD}$,mistral_7b,7B,Medium,7,few_shot,-0.1460166666666668,0.44488333333333346,0.29886666666666667
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge,0.006433333333333402,0.26449999999999996,0.27093333333333336
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,cot_knowledge_few_shot,0.004033333333333278,0.2585666666666667,0.2626
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,few_shot,-0.19168333333333332,0.47996666666666665,0.28828333333333334
$SD_{CT}$ + $SD_{CD}$,mistral_24b,24B,Large,24,knowledge_infused,0.01661666666666667,0.26263333333333333,0.27925
