prompt_type,phase1,phase3,improvement,improvement_pct,rank,complexity,improvement_formatted,improvement_pct_formatted
knowledge_infused,0.3703416666666666,0.28677916666666664,-0.08356249999999998,-22.563623680835263,1,2,-0.0836,-22.56%
cot_knowledge,0.3743208333333334,0.28967916666666665,-0.08464166666666673,-22.61206407159635,2,5,-0.0846,-22.61%
cot_knowledge_few_shot,0.394025,0.30112916666666667,-0.09289583333333334,-23.576126726307553,3,6,-0.0929,-23.58%
few_shot,0.45257083333333337,0.3082708333333333,-0.14430000000000004,-31.884511632617368,4,4,-0.1443,-31.88%
