prompt_type,phase1,phase3,improvement,improvement_pct,rank,complexity,improvement_formatted,improvement_pct_formatted
vanilla,0.45076166666666667,0.8159016666666666,0.36513999999999996,81.00511356703652,1,1,+0.3651,+81.01%
cot,0.4458433333333333,0.8071316666666667,0.3612883333333334,81.03481791062632,2,3,+0.3613,+81.03%
cot_knowledge,0.547945,0.800315,0.25237,46.05754227157835,3,5,+0.2524,+46.06%
knowledge_infused,0.5667016666666667,0.8020133333333334,0.2353116666666667,41.523023577955485,4,2,+0.2353,+41.52%
few_shot,0.5883533333333334,0.7844816666666666,0.19612833333333324,33.33512741776482,5,4,+0.1961,+33.34%
cot_knowledge_few_shot,0.6278766666666667,0.7862266666666666,0.15834999999999988,25.219921109772063,6,6,+0.1583,+25.22%
